matricula,data_inicio_execucao,equipamento,trabalho_real
3,4/1/2024,1562,1
3,23/5/2024,10000004,"0,6"
3,7/2/2024,10000004,1
3,25/6/2024,10000004,"0,6"
3,7/2/2024,10000004,1
3,25/6/2024,10000004,"0,6"
3,25/11/2023,10000006,1
3,23/9/2023,10000006,1
3,28/9/2023,10000007,1
3,29/1/2024,10000008,
3,22/8/2023,10000008,"0,1"
3,24/5/2024,10000008,1
3,21/8/2024,10000008,1
3,21/8/2024,10000008,1
3,25/6/2024,10000008,"0,6"
3,12/3/2024,10000008,"0,6"
3,5/3/2024,10000008,"34,8"
3,5/3/2024,10000008,"0,5"
3,23/5/2024,10000008,"0,6"
3,20/6/2024,10000008,1
3,26/6/2024,10000008,"0,6"
3,5/3/2024,10000008,"109,8"
3,25/6/2024,10000008,"0,6"
3,12/3/2024,10000008,"0,6"
3,21/2/2024,10000008,"0,6"
3,8/3/2024,10000008,"0,6"
3,22/8/2023,10000008,"0,1"
3,25/6/2024,10000009,"0,6"
3,15/3/2024,10000009,"1,8"
3,26/6/2024,10000009,"0,6"
3,24/5/2024,10000010,"0,6"
3,12/8/2024,10000013,"0,6"
3,30/8/2024,10000015,"0,5"
3,23/3/2024,10000051,1
3,14/6/2024,10000057,1
3,1/2/2024,10000057,2
3,1/2/2024,10000057,2
3,28/9/2023,10000059,2
3,27/6/2023,10000171,4
3,25/3/2024,,1
3,26/8/2024,,"0,5"
3,25/3/2024,,1
3,26/8/2024,,1
3,25/3/2024,,1
3,25/3/2024,,1
9,29/1/2024,10000008,1
9,26/7/2023,10000051,"0,6"
9,26/7/2023,10000051,"0,6"
9,26/7/2023,10000051,"0,6"
10,12/5/2023,10000008,1
10,15/9/2023,10000008,1
10,12/5/2023,10000008,
10,6/4/2020,10000059,"4,2"
10,6/4/2020,10000059,"4,8"
17,19/7/2023,10000017,"0,6"
20,12/9/2023,1560,"0,6"
20,13/6/2023,2228,1
20,13/6/2023,2228,2
20,8/5/2023,116960,1
20,7/6/2024,10000004,45
20,2/6/2023,10000008,"4,2"
20,19/5/2023,10000008,
20,24/11/2023,10000008,
20,19/5/2023,10000008,
20,2/6/2023,10000008,"1,8"
20,24/11/2023,10000008,
20,2/6/2023,10000008,3
20,17/5/2023,10000008,"0,6"
20,25/5/2023,10000008,"1,2"
20,23/10/2023,10000008,4
20,25/5/2023,10000008,"0,6"
20,25/5/2023,10000008,"1,2"
20,15/5/2023,10000051,1
20,23/5/2023,10000051,1
20,23/5/2023,10000051,1
20,10/5/2023,10000051,
20,10/5/2023,10000051,
20,10/5/2023,10000051,
20,10/5/2023,10000051,1
20,10/5/2023,10000051,1
20,10/5/2023,10000051,1
20,10/5/2023,10000051,1
20,8/5/2023,10000051,1
20,8/5/2023,10000051,1
20,8/5/2023,10000051,1
20,25/5/2023,10000051,"0,6"
20,16/5/2023,10000051,1
20,16/5/2023,10000051,
20,6/6/2023,10000051,1
20,12/6/2023,10000051,5
20,13/6/2023,10000051,3
20,13/6/2023,10000051,2
20,26/5/2023,10000051,2
20,26/5/2023,10000051,"0,6"
20,29/5/2023,10000051,4
20,30/5/2023,10000051,7
20,30/5/2023,10000051,2
20,24/5/2023,10000051,"79,8"
20,15/5/2023,10000051,1
20,19/5/2023,10000051,1
20,23/5/2023,10000051,1
20,21/5/2023,10000051,1
20,16/5/2023,10000051,1
20,16/5/2023,10000051,1
20,16/5/2023,10000051,1
20,16/5/2023,10000051,
20,24/5/2023,10000051,1
20,24/5/2023,10000051,1
20,16/5/2023,10000051,1
20,23/5/2023,10000051,1
20,23/5/2023,10000051,
20,16/5/2023,10000051,1
20,16/5/2023,10000051,1
20,23/5/2023,10000051,
20,22/5/2023,10000051,1
20,22/5/2023,10000051,1
20,22/5/2023,10000051,1
20,22/5/2023,10000051,1
20,22/5/2023,10000051,1
20,23/5/2023,10000051,1
20,7/11/2023,10000059,14
20,20/6/2023,,"1,2"
34,3/6/2024,10000004,"0,6"
34,5/6/2024,10000007,"0,6"
34,4/6/2024,10000008,"0,6"
34,6/6/2024,10000008,"4,2"
34,4/6/2024,10000008,"1,2"
34,3/6/2024,10000008,"0,6"
34,3/6/2024,10000008,"0,6"
34,7/6/2024,10000008,"1,2"
34,7/6/2024,10000008,"1,8"
34,4/6/2024,10000008,"1,8"
34,6/6/2024,10000008,"0,6"
34,6/6/2024,10000008,"0,6"
34,7/6/2024,10000008,"1,8"
34,4/6/2024,10000013,"0,6"
34,6/6/2024,10000051,"1,8"
35,7/6/2024,10000008,"0,6"
50,14/9/2023,1560,"0,6"
50,14/9/2023,1560,"0,6"
50,14/9/2023,1560,"0,6"
50,14/9/2023,1560,"0,6"
50,14/9/2023,1560,"0,6"
50,2/8/2023,1560,"0,6"
50,2/8/2023,1560,"0,6"
50,3/8/2023,1560,"0,6"
50,3/8/2023,1560,"0,6"
50,3/8/2023,1560,"0,6"
50,3/8/2023,1560,"0,6"
50,4/8/2023,1560,"0,6"
50,4/8/2023,1560,"0,6"
50,4/8/2023,1560,"0,6"
50,13/7/2023,1560,"1,2"
50,13/7/2023,1561,"0,6"
50,4/8/2023,1561,"0,6"
50,4/8/2023,1561,"0,6"
50,4/8/2023,1561,"0,6"
50,2/8/2023,1561,"0,6"
50,2/8/2023,1561,"0,6"
50,4/8/2023,1562,"0,6"
50,2/8/2023,1562,"0,6"
50,2/8/2023,1562,"0,6"
50,4/8/2023,1562,"0,6"
50,4/8/2023,1562,"0,6"
50,2/8/2023,1563,"0,6"
50,2/8/2023,1563,"0,6"
50,2/8/2023,1563,"0,6"
50,4/8/2023,1563,"0,6"
50,4/8/2023,1563,"0,6"
50,2/8/2023,1564,"0,6"
50,4/8/2023,1564,"0,6"
50,4/8/2023,1564,"0,6"
50,2/8/2023,1565,"0,6"
50,4/8/2023,1565,"0,6"
50,4/8/2023,1565,"0,6"
50,3/8/2023,1600,"0,6"
50,4/8/2023,1600,"0,6"
50,4/8/2023,1600,"0,6"
50,4/8/2023,1602,"0,6"
50,4/8/2023,1604,"0,6"
50,4/8/2023,1604,"0,6"
50,4/8/2023,1604,"0,6"
50,4/8/2023,1604,"0,6"
50,3/8/2023,1605,"0,6"
50,4/8/2023,1606,"0,6"
50,3/8/2023,1608,"0,6"
50,24/1/2024,12714,1
50,22/5/2024,10000003,"0,6"
50,24/5/2024,10000003,"0,6"
50,22/5/2024,10000003,"0,6"
50,24/5/2024,10000005,"0,2"
50,24/5/2024,10000005,21
50,18/9/2023,10000006,"1,2"
50,18/9/2023,10000006,"0,6"
50,21/9/2023,10000007,
50,21/9/2023,10000007,1
50,10/8/2023,10000007,2
50,10/8/2023,10000007,1
50,10/8/2023,10000007,1
50,20/9/2023,10000007,
50,20/9/2023,10000007,1
50,10/8/2023,10000007,
50,10/8/2023,10000007,3
50,10/8/2023,10000007,4
50,10/8/2023,10000007,
50,10/8/2023,10000007,1
50,11/8/2023,10000007,2
50,11/8/2023,10000007,1
50,11/8/2023,10000007,1
50,11/8/2023,10000007,1
50,11/8/2023,10000007,1
50,11/8/2023,10000007,3
50,11/8/2023,10000007,4
50,11/8/2023,10000007,1
50,11/8/2023,10000007,1
50,10/8/2023,10000007,1
50,10/8/2023,10000007,1
50,10/8/2023,10000007,1
50,10/8/2023,10000007,1
50,11/8/2023,10000007,1
50,18/9/2023,10000007,3
50,18/9/2023,10000007,"0,6"
50,18/9/2023,10000007,"1,2"
50,18/9/2023,10000007,"0,6"
50,18/9/2023,10000007,"25,2"
50,10/8/2023,10000007,
50,20/9/2023,10000007,1
50,5/7/2023,10000007,"0,6"
50,5/7/2023,10000007,"0,6"
50,5/7/2023,10000007,"0,6"
50,5/7/2023,10000007,"0,6"
50,21/9/2023,10000007,1
50,10/5/2023,10000008,1
50,28/5/2024,10000008,"0,6"
50,13/5/2024,10000008,"0,6"
50,5/7/2023,10000008,"0,6"
50,29/4/2024,10000008,"16,2"
50,7/7/2023,10000008,"0,6"
50,29/4/2024,10000008,"1,8"
50,29/4/2024,10000008,"4,2"
50,29/4/2024,10000008,"4,8"
50,29/4/2024,10000008,"4,8"
50,15/4/2024,10000008,"0,5"
50,15/4/2024,10000008,"7,8"
50,22/5/2024,10000008,"0,6"
50,28/5/2024,10000008,"0,6"
50,12/4/2024,10000008,"10,2"
50,9/4/2024,10000008,"4,8"
50,9/4/2024,10000008,"13,8"
50,20/7/2023,10000008,"19,2"
50,25/7/2023,10000008,"0,6"
50,9/4/2024,10000008,15
50,9/4/2024,10000008,"7,8"
50,8/4/2024,10000008,"7,8"
50,22/5/2024,10000008,"0,6"
50,8/4/2024,10000008,15
50,1/4/2024,10000008,"0,5"
50,28/5/2024,10000008,"0,6"
50,1/4/2024,10000008,"61,2"
50,28/3/2024,10000008,"7,8"
50,28/3/2024,10000008,"0,6"
50,29/1/2024,10000008,120
50,24/7/2023,10000008,"1,2"
50,24/7/2023,10000008,"0,6"
50,24/7/2023,10000008,"1,2"
50,24/7/2023,10000008,3
50,24/7/2023,10000008,"0,6"
50,29/1/2024,10000008,1
50,22/5/2024,10000008,"0,6"
50,28/5/2024,10000008,"0,6"
50,28/5/2024,10000008,"0,6"
50,28/3/2024,10000008,"0,6"
50,27/7/2023,10000008,"229,2"
50,27/7/2023,10000008,"1,8"
50,22/5/2024,10000008,"0,6"
50,28/5/2024,10000008,"0,6"
50,28/5/2024,10000008,"0,6"
50,4/6/2024,10000008,1
50,28/5/2024,10000008,"0,6"
50,21/2/2024,10000008,"0,6"
50,21/2/2024,10000008,"0,6"
50,21/2/2024,10000008,"0,6"
50,28/5/2024,10000008,"0,6"
50,28/5/2024,10000008,"0,6"
50,4/6/2024,10000008,"10,2"
50,4/6/2024,10000008,"4,2"
50,4/6/2024,10000008,"4,8"
50,3/8/2023,10000008,"0,6"
50,6/12/2023,10000008,1
50,28/5/2024,10000008,"0,6"
50,4/6/2024,10000008,"4,8"
50,6/12/2023,10000008,
50,6/12/2023,10000008,1
50,20/12/2023,10000008,264
50,20/9/2023,10000008,1
50,20/9/2023,10000008,1
50,28/5/2024,10000008,"0,6"
50,5/6/2024,10000008,"10,2"
50,5/6/2024,10000008,3
50,17/5/2023,10000008,
50,17/5/2023,10000008,
50,17/5/2023,10000008,1
50,17/5/2023,10000008,1
50,17/5/2023,10000008,1
50,22/5/2023,10000008,1
50,7/6/2024,10000008,"1,2"
50,7/6/2024,10000008,"0,6"
50,7/6/2024,10000008,"0,6"
50,7/6/2024,10000008,"0,6"
50,7/6/2024,10000008,"0,6"
50,7/6/2024,10000008,"0,6"
50,10/6/2024,10000008,735
50,17/4/2023,10000008,"0,6"
50,12/6/2024,10000008,"0,6"
50,17/5/2023,10000008,
50,17/5/2023,10000008,
50,17/5/2023,10000008,
50,17/5/2023,10000008,
50,17/5/2023,10000008,
50,17/5/2023,10000008,
50,17/5/2023,10000008,
50,17/5/2023,10000008,1
50,17/5/2023,10000008,
50,17/5/2023,10000008,
50,17/5/2023,10000008,
50,17/5/2023,10000008,
50,17/5/2023,10000008,
50,17/5/2023,10000008,
50,17/5/2023,10000008,
50,17/5/2023,10000008,
50,17/5/2023,10000008,
50,17/5/2023,10000008,
50,17/5/2023,10000008,
50,17/5/2023,10000008,
50,17/5/2023,10000008,
50,17/5/2023,10000008,
50,17/5/2023,10000008,
50,17/5/2023,10000008,
50,17/5/2023,10000008,
50,17/5/2023,10000008,
50,17/5/2023,10000008,
50,17/5/2023,10000008,1
50,17/5/2023,10000008,1
50,17/5/2023,10000008,
50,17/5/2023,10000008,
50,17/5/2023,10000008,
50,17/5/2023,10000008,
50,17/5/2023,10000008,1
50,17/5/2023,10000008,
50,17/5/2023,10000008,
50,17/5/2023,10000008,
50,17/5/2023,10000008,
50,17/5/2023,10000008,
50,17/5/2023,10000008,
50,17/5/2023,10000008,
50,17/5/2023,10000008,
50,17/5/2023,10000008,
50,17/5/2023,10000008,
50,17/5/2023,10000008,
50,17/5/2023,10000008,
50,17/5/2023,10000008,
50,3/8/2023,10000008,"0,6"
50,10/5/2023,10000008,1
50,10/5/2023,10000008,1
50,10/5/2023,10000008,1
50,29/1/2024,10000008,1
50,29/1/2024,10000008,2
50,30/1/2024,10000008,1
50,21/2/2024,10000008,"0,6"
50,8/5/2023,10000008,1
50,8/5/2023,10000008,1
50,21/9/2023,10000008,1
50,30/5/2023,10000008,"376,2"
50,23/5/2023,10000008,1
50,23/5/2023,10000008,1
50,23/5/2023,10000008,1
50,17/5/2023,10000008,1
50,29/6/2023,10000008,"0,6"
50,5/7/2023,10000008,"0,6"
50,5/7/2023,10000008,"0,6"
50,5/7/2023,10000008,"0,6"
50,5/7/2023,10000008,"0,6"
50,7/7/2023,10000008,"0,6"
50,20/9/2023,10000008,1
50,18/9/2023,10000008,"1,8"
50,19/7/2023,10000008,"0,6"
50,20/7/2023,10000008,"0,6"
50,21/7/2023,10000008,"0,6"
50,21/7/2023,10000008,"1,2"
50,21/7/2023,10000008,"1,2"
50,21/7/2023,10000008,"1,2"
50,18/9/2023,10000008,"1,8"
50,18/9/2023,10000008,"1,8"
50,24/7/2023,10000008,"20,4"
50,25/7/2023,10000008,"0,6"
50,25/7/2023,10000008,"0,6"
50,18/9/2023,10000008,"1,2"
50,25/7/2023,10000008,"0,6"
50,25/7/2023,10000008,"0,6"
50,18/9/2023,10000008,"1,2"
50,18/9/2023,10000008,"1,2"
50,18/9/2023,10000008,"1,2"
50,18/9/2023,10000008,"1,8"
50,18/9/2023,10000008,"0,6"
50,2/8/2023,10000008,"0,6"
50,2/8/2023,10000008,"1,8"
50,18/9/2023,10000008,"0,6"
50,18/9/2023,10000008,9
50,31/8/2023,10000008,"1,8"
50,2/8/2023,10000008,"0,6"
50,3/8/2023,10000008,"0,6"
50,11/8/2023,10000008,1
50,11/8/2023,10000008,1
50,10/8/2023,10000008,1
50,3/8/2023,10000008,"0,6"
50,3/8/2023,10000008,"0,6"
50,21/9/2023,10000009,1
50,21/2/2024,10000011,"0,6"
50,13/7/2023,10000017,"10,2"
50,13/7/2023,10000017,"0,6"
50,29/4/2024,10000051,"4,8"
50,29/4/2024,10000051,"100,2"
50,29/4/2024,10000051,"0,5"
50,28/5/2024,10000051,"0,6"
50,19/7/2023,10000059,"0,6"
50,22/5/2023,10000140,1
50,6/12/2023,10000154,
50,2/8/2023,10000155,"0,6"
50,29/1/2024,10000168,1
50,10/7/2023,10000168,"0,6"
50,29/1/2024,10000168,
50,29/1/2024,10000168,
50,29/1/2024,10000168,
50,26/7/2023,10000174,"4,2"
50,2/8/2023,10000184,"1,2"
50,22/5/2024,10000184,"0,6"
50,29/5/2023,110000502,
52,24/8/2023,1560,"0,6"
52,7/8/2023,1560,"0,6"
52,23/8/2023,1560,"0,6"
52,23/8/2023,1560,"0,6"
52,7/12/2023,1560,1
52,28/11/2023,1560,1
52,28/11/2023,1560,1
52,25/10/2023,1560,1
52,28/9/2023,1560,1
52,10/8/2023,1560,1
52,28/11/2023,1560,1
52,15/9/2023,1560,"0,6"
52,20/11/2023,1560,1
52,23/8/2023,1560,"0,6"
52,23/8/2023,1560,"0,6"
52,23/8/2023,1560,"0,6"
52,23/8/2023,1560,"0,6"
52,23/8/2023,1560,"0,6"
52,18/8/2023,1561,"0,6"
52,18/8/2023,1561,"31,8"
52,15/9/2023,1561,"0,6"
52,28/9/2023,1561,
52,28/9/2023,1561,1
52,15/9/2023,1561,"0,6"
52,15/9/2023,1561,"0,6"
52,23/8/2023,1561,"0,6"
52,15/9/2023,1561,"0,6"
52,28/11/2023,1561,1
52,28/11/2023,1561,1
52,28/11/2023,1561,1
52,28/11/2023,1561,
52,7/8/2023,1561,"0,6"
52,23/8/2023,1561,"0,6"
52,10/8/2023,1561,1
52,15/9/2023,1561,"0,6"
52,28/11/2023,1561,1
52,28/9/2023,1561,
52,25/8/2023,1562,"1,2"
52,15/9/2023,1562,"0,6"
52,10/8/2023,1562,1
52,28/11/2023,1562,
52,28/11/2023,1562,
52,15/9/2023,1562,"0,6"
52,7/8/2023,1562,"0,6"
52,7/8/2023,1562,
52,15/9/2023,1562,"0,6"
52,23/8/2023,1562,"0,6"
52,23/8/2023,1562,"0,6"
52,23/8/2023,1562,"0,6"
52,24/8/2023,1562,"0,6"
52,25/10/2023,1562,1
52,23/8/2023,1563,"0,6"
52,28/11/2023,1563,1
52,7/8/2023,1563,"0,6"
52,7/8/2023,1563,"0,6"
52,23/8/2023,1563,"0,6"
52,23/8/2023,1563,"0,6"
52,23/8/2023,1563,"0,6"
52,23/8/2023,1563,"0,6"
52,23/8/2023,1563,"0,6"
52,23/8/2023,1563,"0,6"
52,15/9/2023,1563,"0,6"
52,28/9/2023,1563,1
52,28/9/2023,1564,
52,15/9/2023,1564,"0,6"
52,15/9/2023,1564,"0,6"
52,28/9/2023,1564,1
52,28/9/2023,1564,
52,28/9/2023,1564,
52,15/9/2023,1565,"0,6"
52,15/9/2023,1566,"0,6"
52,15/9/2023,1567,"0,6"
52,15/9/2023,1570,"0,6"
52,15/9/2023,1571,"0,6"
52,15/9/2023,1571,"0,6"
52,15/9/2023,1572,"0,6"
52,15/9/2023,1573,"0,6"
52,15/9/2023,1574,"0,6"
52,15/9/2023,1574,"0,6"
52,15/9/2023,1574,"0,6"
52,15/9/2023,1575,"0,6"
52,15/9/2023,1575,"0,6"
52,15/9/2023,1575,"0,6"
52,15/9/2023,1575,"0,6"
52,15/9/2023,1575,"0,6"
52,15/9/2023,1575,"0,6"
52,15/9/2023,1576,"0,6"
52,15/9/2023,1577,"0,6"
52,15/9/2023,1578,"0,6"
52,15/9/2023,1579,"0,6"
52,15/9/2023,1582,"0,6"
52,7/8/2023,1605,"0,6"
52,7/8/2023,1605,"0,6"
52,7/8/2023,1605,"0,6"
52,7/8/2023,1605,"0,6"
52,7/8/2023,1605,"0,6"
52,7/8/2023,1605,"0,6"
52,7/8/2023,1605,"0,6"
52,7/8/2023,1605,"0,6"
52,7/8/2023,1606,"0,6"
52,7/8/2023,1608,"0,6"
52,7/8/2023,1608,"0,6"
52,7/8/2023,1608,"58,8"
52,7/8/2023,1608,"0,6"
52,7/8/2023,1608,"0,6"
52,7/8/2023,1608,"0,6"
52,7/8/2023,1608,"0,6"
52,7/8/2023,1609,"0,6"
52,7/8/2023,1609,"0,6"
52,7/8/2023,1609,"0,6"
52,7/8/2023,1609,"0,6"
